               dataset          met      n   nvar
                TTJets    63.095734  64563  64563
                TTJets    79.432823  62857  62857
                TTJets   100.000000  51717  51717
                TTJets   125.892541  36876  36876
                TTJets   158.489319  22650  22650
                TTJets   199.526231  10926  10926
                TTJets   251.188643   4305   4305
                TTJets   316.227766   1534   1534
                TTJets   398.107171    453    453
                TTJets   501.187234    113    113
                TTJets   630.957344     22     22
                TTJets   794.328235      3      3
                TTJets  1000.000000      2      2
                TTJets  1258.925412      0      0
        TToLeptons_sch     3.162278      3      3
        TToLeptons_sch     3.981072      6      6
        TToLeptons_sch     5.011872      8      8
        TToLeptons_sch     6.309573     22     22
        TToLeptons_sch     7.943282     27     27
        TToLeptons_sch    10.000000     62     62
        TToLeptons_sch    12.589254    100    100
        TToLeptons_sch    15.848932    169    169
        TToLeptons_sch    19.952623    240    240
        TToLeptons_sch    25.118864    383    383
        TToLeptons_sch    31.622777    491    491
        TToLeptons_sch    39.810717    673    673
        TToLeptons_sch    50.118723    918    918
        TToLeptons_sch    63.095734    949    949
        TToLeptons_sch    79.432823    876    876
        TToLeptons_sch   100.000000    593    593
        TToLeptons_sch   125.892541    441    441
        TToLeptons_sch   158.489319    269    269
        TToLeptons_sch   199.526231    138    138
        TToLeptons_sch   251.188643     60     60
        TToLeptons_sch   316.227766     21     21
        TToLeptons_sch   398.107171      7      7
        TToLeptons_sch   501.187234      3      3
        TToLeptons_sch   630.957344      1      1
        TToLeptons_sch   794.328235      0      0
        TToLeptons_tch     2.511886      3      3
        TToLeptons_tch     3.162278     10     10
        TToLeptons_tch     3.981072     35     35
        TToLeptons_tch     5.011872     60     60
        TToLeptons_tch     6.309573    124    124
        TToLeptons_tch     7.943282    227    227
        TToLeptons_tch    10.000000    398    398
        TToLeptons_tch    12.589254    646    646
        TToLeptons_tch    15.848932   1051   1051
        TToLeptons_tch    19.952623   1630   1630
        TToLeptons_tch    25.118864   2316   2316
        TToLeptons_tch    31.622777   3326   3326
        TToLeptons_tch    39.810717   4459   4459
        TToLeptons_tch    50.118723   5701   5701
        TToLeptons_tch    63.095734   6784   6784
        TToLeptons_tch    79.432823   6582   6582
        TToLeptons_tch   100.000000   5220   5220
        TToLeptons_tch   125.892541   3637   3637
        TToLeptons_tch   158.489319   2213   2213
        TToLeptons_tch   199.526231   1096   1096
        TToLeptons_tch   251.188643    471    471
        TToLeptons_tch   316.227766    186    186
        TToLeptons_tch   398.107171     77     77
        TToLeptons_tch   501.187234     27     27
        TToLeptons_tch   630.957344      6      6
        TToLeptons_tch   794.328235      0      0
                T_tWch     1.584893      1      1
                T_tWch     1.995262      1      1
                T_tWch     2.511886      8      8
                T_tWch     3.162278      8      8
                T_tWch     3.981072     13     13
                T_tWch     5.011872     20     20
                T_tWch     6.309573     37     37
                T_tWch     7.943282     76     76
                T_tWch    10.000000    116    116
                T_tWch    12.589254    177    177
                T_tWch    15.848932    289    289
                T_tWch    19.952623    413    413
                T_tWch    25.118864    601    601
                T_tWch    31.622777    809    809
                T_tWch    39.810717   1046   1046
                T_tWch    50.118723   1359   1359
                T_tWch    63.095734   1575   1575
                T_tWch    79.432823   1586   1586
                T_tWch   100.000000   1378   1378
                T_tWch   125.892541   1130   1130
                T_tWch   158.489319    727    727
                T_tWch   199.526231    434    434
                T_tWch   251.188643    204    204
                T_tWch   316.227766     74     74
                T_tWch   398.107171     46     46
                T_tWch   501.187234     16     16
                T_tWch   630.957344      7      7
                T_tWch   794.328235      0      0
                T_tWch  1258.925412      1      1
                T_tWch  1584.893192      0      0
 WJetsToLNu_HT100to200     2.511886      3      3
 WJetsToLNu_HT100to200     3.162278      1      1
 WJetsToLNu_HT100to200     3.981072      1      1
 WJetsToLNu_HT100to200     5.011872      6      6
 WJetsToLNu_HT100to200     6.309573     14     14
 WJetsToLNu_HT100to200     7.943282     24     24
 WJetsToLNu_HT100to200    10.000000     41     41
 WJetsToLNu_HT100to200    12.589254     59     59
 WJetsToLNu_HT100to200    15.848932    103    103
 WJetsToLNu_HT100to200    19.952623    135    135
 WJetsToLNu_HT100to200    25.118864    175    175
 WJetsToLNu_HT100to200    31.622777    241    241
 WJetsToLNu_HT100to200    39.810717    319    319
 WJetsToLNu_HT100to200    50.118723    390    390
 WJetsToLNu_HT100to200    63.095734    411    411
 WJetsToLNu_HT100to200    79.432823    329    329
 WJetsToLNu_HT100to200   100.000000    277    277
 WJetsToLNu_HT100to200   125.892541    163    163
 WJetsToLNu_HT100to200   158.489319     61     61
 WJetsToLNu_HT100to200   199.526231      3      3
 WJetsToLNu_HT100to200   251.188643      1      1
 WJetsToLNu_HT100to200   316.227766      0      0
 WJetsToLNu_HT200to400     1.258925      5      5
 WJetsToLNu_HT200to400     1.584893      3      3
 WJetsToLNu_HT200to400     1.995262     25     25
 WJetsToLNu_HT200to400     2.511886     67     67
 WJetsToLNu_HT200to400     3.162278    120    120
 WJetsToLNu_HT200to400     3.981072    225    225
 WJetsToLNu_HT200to400     5.011872    434    434
 WJetsToLNu_HT200to400     6.309573    813    813
 WJetsToLNu_HT200to400     7.943282   1511   1511
 WJetsToLNu_HT200to400    10.000000   2407   2407
 WJetsToLNu_HT200to400    12.589254   3934   3934
 WJetsToLNu_HT200to400    15.848932   5816   5816
 WJetsToLNu_HT200to400    19.952623   8530   8530
 WJetsToLNu_HT200to400    25.118864  11824  11824
 WJetsToLNu_HT200to400    31.622777  15518  15518
 WJetsToLNu_HT200to400    39.810717  18453  18453
 WJetsToLNu_HT200to400    50.118723  21396  21396
 WJetsToLNu_HT200to400    63.095734  22148  22148
 WJetsToLNu_HT200to400    79.432823  18630  18630
 WJetsToLNu_HT200to400   100.000000  14370  14370
 WJetsToLNu_HT200to400   125.892541  10536  10536
 WJetsToLNu_HT200to400   158.489319   6990   6990
 WJetsToLNu_HT200to400   199.526231   3260   3260
 WJetsToLNu_HT200to400   251.188643    972    972
 WJetsToLNu_HT200to400   316.227766     93     93
 WJetsToLNu_HT200to400   398.107171      2      2
 WJetsToLNu_HT200to400   501.187234      0      0
 WJetsToLNu_HT400to600     1.000000      3      3
 WJetsToLNu_HT400to600     1.258925      3      3
 WJetsToLNu_HT400to600     1.584893     20     20
 WJetsToLNu_HT400to600     1.995262     45     45
 WJetsToLNu_HT400to600     2.511886     90     90
 WJetsToLNu_HT400to600     3.162278    213    213
 WJetsToLNu_HT400to600     3.981072    385    385
 WJetsToLNu_HT400to600     5.011872    754    754
 WJetsToLNu_HT400to600     6.309573   1383   1383
 WJetsToLNu_HT400to600     7.943282   2434   2434
 WJetsToLNu_HT400to600    10.000000   3797   3797
 WJetsToLNu_HT400to600    12.589254   6147   6147
 WJetsToLNu_HT400to600    15.848932   9484   9484
 WJetsToLNu_HT400to600    19.952623  13834  13834
 WJetsToLNu_HT400to600    25.118864  19165  19165
 WJetsToLNu_HT400to600    31.622777  25282  25282
 WJetsToLNu_HT400to600    39.810717  31855  31855
 WJetsToLNu_HT400to600    50.118723  37852  37852
 WJetsToLNu_HT400to600    63.095734  41281  41281
 WJetsToLNu_HT400to600    79.432823  38363  38363
 WJetsToLNu_HT400to600   100.000000  31679  31679
 WJetsToLNu_HT400to600   125.892541  25610  25610
 WJetsToLNu_HT400to600   158.489319  20462  20462
 WJetsToLNu_HT400to600   199.526231  15822  15822
 WJetsToLNu_HT400to600   251.188643  11213  11213
 WJetsToLNu_HT400to600   316.227766   6071   6071
 WJetsToLNu_HT400to600   398.107171   1604   1604
 WJetsToLNu_HT400to600   501.187234    100    100
 WJetsToLNu_HT400to600   630.957344      0      0
 WJetsToLNu_HT600toInf     0.630957      1      1
 WJetsToLNu_HT600toInf     0.794328      1      1
 WJetsToLNu_HT600toInf     1.000000      5      5
 WJetsToLNu_HT600toInf     1.258925     15     15
 WJetsToLNu_HT600toInf     1.584893     25     25
 WJetsToLNu_HT600toInf     1.995262     35     35
 WJetsToLNu_HT600toInf     2.511886    105    105
 WJetsToLNu_HT600toInf     3.162278    162    162
 WJetsToLNu_HT600toInf     3.981072    381    381
 WJetsToLNu_HT600toInf     5.011872    699    699
 WJetsToLNu_HT600toInf     6.309573   1202   1202
 WJetsToLNu_HT600toInf     7.943282   2093   2093
 WJetsToLNu_HT600toInf    10.000000   3206   3206
 WJetsToLNu_HT600toInf    12.589254   5246   5246
 WJetsToLNu_HT600toInf    15.848932   8062   8062
 WJetsToLNu_HT600toInf    19.952623  11949  11949
 WJetsToLNu_HT600toInf    25.118864  16731  16731
 WJetsToLNu_HT600toInf    31.622777  22405  22405
 WJetsToLNu_HT600toInf    39.810717  28826  28826
 WJetsToLNu_HT600toInf    50.118723  35694  35694
 WJetsToLNu_HT600toInf    63.095734  40970  40970
 WJetsToLNu_HT600toInf    79.432823  41064  41064
 WJetsToLNu_HT600toInf   100.000000  36220  36220
 WJetsToLNu_HT600toInf   125.892541  30946  30946
 WJetsToLNu_HT600toInf   158.489319  25925  25925
 WJetsToLNu_HT600toInf   199.526231  20993  20993
 WJetsToLNu_HT600toInf   251.188643  16588  16588
 WJetsToLNu_HT600toInf   316.227766  12855  12855
 WJetsToLNu_HT600toInf   398.107171   9204   9204
 WJetsToLNu_HT600toInf   501.187234   5267   5267
 WJetsToLNu_HT600toInf   630.957344   1852   1852
 WJetsToLNu_HT600toInf   794.328235    581    581
 WJetsToLNu_HT600toInf  1000.000000    144    144
 WJetsToLNu_HT600toInf  1258.925412     30     30
 WJetsToLNu_HT600toInf  1584.893192      5      5
 WJetsToLNu_HT600toInf  1995.262315      0      0
